Segments:,2,PostProcess:,RandomNumber,OutputPrefix:,Taking the stage...
Adjective,Band,,,,
Bacteria,Charlotte,,,,
Contamination,Lit,,,,
Germ,Dopamines,,,,
Toxin,Herder,,,,
Venom,Riddance,,,,
Virus,No Use,,,,
Adulteration,Copyrights,,,,
Bane,Rufio,,,,
Blight,Lemuria,,,,
Contagion,Mixtapes,,,,
Corruption,Martha,,,,
Infection,Weston,,,,
Malignancy,Monsula,,,,
Miasma,Sugarcult,,,,
Toxicant,Landlord,,,,
Toxoid,Midtown,,,,
Venin,Banner,,,,
Clog,All,,,,
Congest,Wagon,,,,
Drown,Matrches,,,,
Fill,Spraynard,,,,
Gag,Bottlerocket,,,,
Gasp,Sum,,,,
Kill,Ghoulies,,,,
Stifle,Parasites,,,,
Strangle,Lillingtons,,,,
Suffocate,Hi-Fi,,,,
Asphyxiate,Vandals,,,,
Bar,Tacocat,,,,
Check,Fenix,,,,
Close,Glory,,,,
Constrict,Wonder,,,,
Dam,Sidekicks,,,,
Die,All Time,,,,
Garrote,Rejects,,,,
Gibbet,Gimme Gimmes,,,,
Noose,Panic,,,,
Obstruct,Corporate,,,,
Occlude,Face,,,,
Overpower,Experience,,,,
Squeeze,Say Anything,,,,
Stop,Distillers,,,,
Stopper,Jake,,,,
Strangulate,Dickies,,,,
Stuff,Sunday,,,,
Stunt,Ataris,,,,
Suppress,Unwritten,,,,
Throttle,Modern,,,,
Wring,Starting,,,,
,Fall Out,,,,
,Industry,,,,
,Motion City,,,,
,Chemical,,,,
,Saves,,,,
,Get Up,,,,
,Bouncing,,,,
,Spring,,,,
,Alkaline,,,,
,Brand New,,,,
,Jimmy,,,,
,Operation,,,,
,Blink,,,,
,Green,,,,
